,etat,marque,adresse,region,prix,description,image_links
0,Venant,Lenovo,Médina,Dakar,225000 ,"Voici les spécifications pour le Lenovo X1 Yoga avec un processeur Intel Core i5 de 7ème génération:Processeur: Intel Core i5 de 7ème génération
Poids: 1,36 kg
Dimensions: 333 mm x 229 mm x 17,05 mm
Écran: 14 pouces, 1920 x 1080 pixels
Mémoire vive: 16 Go DDR3
Stockage: 256 Go SSD
Carte graphique: Intel HD Graphics 620
Connectivité: Wi-Fi 802.11ac, Bluetooth 4.1
Ports: 3 ports USB 3.0, 1 port HDMI, 1 port Mini DisplayPort, 1 port Ethernet, 1 port audio
Système d'exploitation: Windows 10 Pro
Ecran tactile
Clavier rétroéclairé.
Etat presque neuf
Garantie 180 jours.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/2185e6162e5cddcb2845d36a2ccec173/-/horizon-files-prod/ed/picture/qj4r7jze/3c77d1b379ff7d18bad55e984a31e0c80fc720e1.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/56bb9eeb6211c1f9886b456718ac6ebb/-/horizon-files-prod/ed/picture/qj4r7jze/19600a3295623b970dd3bd79cf222ea64cb71582.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c4b9364c11f014e3b771f6882ba33d7/-/horizon-files-prod/ed/picture/qj4r7jze/9d9dd6cf4753db119de6832daf1019eb2939de3a.jpg']"
1,Venant,Lenovo,Médina,Dakar,250000 ,"Découvrez la puissance de la machine ThinkCentre M920z, 8eme génération Core i5, 8 Go de RAM, et un disque de 256 Go ssd m2. Un ordinateur tout-en-un conçu pour une performance exceptionnelle et une productivité accrue. Redéfinissez votre expérience informatique avec cette solution élégante et performante.",['https://i.roamcdn.net/hz/ed/listing-thumb-543w/8248aa5f519de56381e6224e9fa8940d/-/horizon-files-prod/ed/picture/q4482e4e/90dd4976ab6b15a7bb6c93f8fd60f2ddf0787a11.jpg']
2,Venant,Dell,Médina,Dakar,145000 ,"Promo Dell latitude 3470 venant des usa core i5 6th gen ram 8Go disque 500 go hdd ou 128 go ssd écran tactile 14"" pouces 2.5 GHz.Vendu sur facture et garantie 6 mois.isitez notre showroom ou site ci-dessous.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/f1852af032caaa8a72c212043259dbda/-/horizon-files-prod/ed/picture/q9zveg8/1b8c1e5ca8174b20b5450b17a85c7f1781468f27.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/124eba72c75647959b7d2920f5004319/-/horizon-files-prod/ed/picture/q9zveg8/dbaa9e8367759aa1546a054bcb6a241863580994.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f036d6101a8c04b9ab3d32e6445de14/-/horizon-files-prod/ed/picture/q9zveg8/f54c7caa6a312eda4d2a0138bcc06697f9a5c237.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/00b6afad269b5c2db2e432619d7082ee/-/horizon-files-prod/ed/picture/q9zveg8/a6794179a0a4a12c4f16bfac710e0091a2c7584c.jpg']"
3,Venant,Lenovo,Médina,Dakar,80000 ,Venant des usa. Lenovo n23 tactile pliable convertible en tablette duo core ram 4 disque 128 go ssd .Vendu sur facture et garantie.isitez notre showroom ou site ci-dessous.,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/466bb738a1d323377b55b6c914bfc184/-/horizon-files-prod/ed/picture/qv72qex/d0fc5f10f2132f1950a35e308454811b0350139a.png', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/8d5318a64f8082d6ef318e33added37f/-/horizon-files-prod/ed/picture/qv72qex/ac8a9fd8e23114638d9f5742b13179aa22c8dcd2.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/da4a0cc85a046ea15878d737be89c77f/-/horizon-files-prod/ed/picture/qv72qex/2e960a2747678c688ddf7b80ec5b4d502f474f6f.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/713c88cd6ca52936b6207bf4a8cda304/-/horizon-files-prod/ed/picture/qv72qex/9c33b6d2b28bebbb4b8beed371e3eaed88af4afc.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/4523d9f086dd4a8ee3a1fe1c0bd6a67f/-/horizon-files-prod/ed/picture/qv72qex/ba2fe20eba8d8a07de3f8b366454de16db26501f.jpg']"
4,Venant,Lenovo,Yoff,Dakar,450000 ,"Lenovo LOQ 13e génération 2023 Rtx 2050 4Go DDR6Processeur i5-13420H 2,10 GHz ( jusqu'à 4,6 GHz, 12 Mo de cache, 8 cœurs, 12 threads, 4 cœurs de performance)16Go ram DDR5
512 Go SSDÉcran LCD IPS de 15,6 pouces rétroéclairage LED FHD (1 920 x 1 080) 144 HzNVIDIA® GeForce RTX™ 2050, 4 GoWi-Fi 6 (2 x 2/160) Gig+ et Bluetooth® 5.0
Webcam 1080P intégrée avec obturateur de confidentialité électroniqueSolution de haut-parleur Nahimic
2x haut-parleurs de 2 wattsClavier rétro-éclairé
Ports et emplacements :1 USB Type-C (Power Delivery 140 W et DisplayPort 1.4)
2x USB 3.2 génération 2
1x USB 3.2 génération 1
1x sortie HDMI 2.0
1x RJ-45
1x prise audio combinéeVenant des États-Unis comme neuf vendu sur facture cachet chez 7MAKSACOD PC....","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/ea6f53b91be7136cdbfee9bb830ff3bf/-/horizon-files-prod/ed/picture/q8v52qvj/241de7319caa966b51bc8984082644b8bb519fdb.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/6cf03c2fee10760b18339bb0a4756b29/-/horizon-files-prod/ed/picture/q8v52qvj/d79342aead51f6efe897ab608240bcf4cf699dd2.jpg']"
5,Venant,Apple,Plateau,Dakar,225000 ,"Macbook Air 2015 venant des usa .
Processeur: Intel Core i7 bicœur à 2,2 GHz (Turbo Boost jusqu'à 3,2 GHz)
RAM: 8 Go
Stockage: Disque dur SSD 256 Go
État: 10/10 (Excellent)
Écran: 13.3 pouces
Clavier: Rétro-éclairé
Autonomie Batterie: Excellente
Garantie: Incluse
Livraison: Gratuite
Bonus: Sac offert","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/c67129227fc0719b3d2f83778c9e3dc2/-/horizon-files-prod/ed/picture/qngxkd9x/42bcd4898ef71b90d13a724a7f5163003664406d.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/f61a8322a244fafd915fd442695fc393/-/horizon-files-prod/ed/picture/qngxkd9x/41934e764e43798fa6158b577ee70aca71ad80e7.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/7baef8d678f7d90f923db24ea5a0b0a7/-/horizon-files-prod/ed/picture/qngxkd9x/9fdfcff08819b895b51ac41f5577158fa4a23943.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c21b5bdeb73ff9e298be324cbbd6a8b/-/horizon-files-prod/ed/picture/qngxkd9x/810992590a7b6c68c0f48bf193e22245ac88597b.jpg']"
6,Venant,HP,Yoff,Dakar,130000 ,"Hp probook 450 G3 core i5 6é génération 8Go ram 128Go ssd ou 500Go HDDProcesseurs Intel Core i5-6200U Graphiques HD Intel 520 (2,3 GHz, jusqu'à 2,8 GHz avec la technologie Intel Turbo Boost, 3 Mo de mémoire cache, 2 cœurs)8Go Ram DDR4
128Go SSD ou 500Go HDD selon le choix du client15.6 Pouce FULL HD
Clavier rétroéclairéWebcam Wi-Fi BleutoothPorts/connecteurs
USB 3.0 (2)
Port d'alimentation USB 2.0 (2)
HDMI (1)
casque/microphone combinés (1)
Alimentation secteur (1)
RJ-45 (1)GA (1)Venant des États-Unis en très bon état vendu sur facture cachet chez 7MAKSACOD PC.",['https://i.roamcdn.net/hz/ed/listing-thumb-543w/5554c83e67e4f85ef66d4e75bc9d646b/-/horizon-files-prod/ed/picture/qgq9k2q9/67ad0e720fd445ff05d0a8220c5fb0b853238048.jpg']
7,Venant,Apple,Médina,Dakar,290000 ,"MACBOOK PRO 2015 CORE I7
Apple MacBook Pro 2015 - Description
Le MacBook Pro 2015 refurbed vous offre le lot complet d'Apple : un ensemble de fonctionnalités fantastiques, telles que le pavé tactile Force Touch, un SSD deux fois plus rapide que le modèle précédent, ainsi que performance imbattable à un prix avantageux.Les caractéristiques Apple
Coque en aluminium de haute qualité et esthétique, offrant un maximum de stabilité. L'écran de première classe a été conçu pour faire ressortir les performances supérieures de cette machine. À propos des performances : les tâches les plus complexes et les applications multimédia sont gérées de manière efficace grâce à un processeur de 28 watts, à une carte graphique Iris Graphics 6100 et à un SSD rapide. De plus, sa batterie assure une autonomie de 10 heures.
DISQUE DUR 512 SSD
RAM 16 GO
ECRAN 14 POUCES
STOCK LIMITE","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/2e2d589d53a780f7c74ac6a4886fd3ca/-/horizon-files-prod/ed/picture/q56xdrm7/ad8afab60e25c4cf20a35816254d2add829b9e69.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/bde0f898081abb794c6cd7a3748c53e7/-/horizon-files-prod/ed/picture/q56xdrm7/a17709907a60bede8cdc483aa22c7f1b25ebb3f3.jpg']"
8,D'occasion,HP,Gueule-Tapée,Dakar,40000 ,"Ordinateurs complets avec écran 19 pouces en lenovo, Dell et HP selon stock : Pentium ,core 2 duo ou Celeron. 2.6 Ghz à 3 Ghz, 4 go de mémoire ram, disque dur 250 go. Wifi en option Windows 10 Pro, office, antivirus etc... prêt à l'emploi .. machines puissantes idéales pour transfèrt d'argent, multiservices et tous travaux de bureau et d'internet. Tous nos produits sont garantis.",['https://i.roamcdn.net/hz/ed/listing-thumb-543w/3880040e6ac6112c8454be7efd9fca08/-/horizon-files-prod/ed/picture/migrated/qq9wkk4/3ae933da339dd2a87b547d4b176f67ab2b188e8f.jpg']
9,D'occasion,HP,Colobane,Dakar,90000 ,"NOUS VENDONS DES ORDINATEURS FIXES.
PROCESSEUR: CORE I7
RAM: 8GO EXTENSIBLE A 16GO
DISQUE DUR : 500go
ÉCRAN: 22 POUCES","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/1e3187e0fb9f16504533e7964f6b523f/-/horizon-files-prod/ed/picture/q56xgdk7/79f6fbec1b416c7e3eb900630988a80e195bb9f6.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/ece46d32f10ff6f508f6219095f67fc5/-/horizon-files-prod/ed/picture/q56xgdk7/1e27f3525c47e6632e9fc6bfb6f335c80e1a0d50.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/a0e267bb2e43723b8042bd37300ba39c/-/horizon-files-prod/ed/picture/q56xgdk7/f6d4a7ea7b68e52cf1f9fe869f5d4659b2233555.jpg']"
