,etat,marque,adresse,region,prix,description,image_links
0,Neuf,Autre,Plateau,Dakar,220000 ,"Téléviseur de votre grand marque smart technologie 55 pouces Android 4k neuf scellé image ultra hd connectivité netflix, youtube, ect, port, usb, hdmi garantie 12 mois livraison gratuite sur dakar","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/419dc3792ceb4756d146c496aa57c0cb/-/horizon-files-prod/ed/picture/qxj2emd0/0b835facf0a6f6e62f7b61aad5ceba4f54b495b7.jpg', nan, nan, nan, nan]"
1,Neuf,Star,Médina,Dakar,120000 ,Le téléviseur écran plat de Star Track va transformer votre salon en un centre de divertissement multimédia. Les ports HDMI et USB; permettent la transmission à grande vitesse de données numériques haute définition à partir de plusieurs périphériques directement sur votre téléviseur.,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/c045af04cf0da9a4ab9793c928f7826e/-/horizon-files-prod/ed/picture/qkrgm9kw/de0dd97bc2c2a31ef0b43e792273500c20310d79.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/e6f2b6e1e8575067e249d384efb4fd95/-/horizon-files-prod/ed/picture/qkrgm9kw/e23f752d2cd1f5c5c6974dbeb457253698186f93.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/d6b819f90c219ab209c6781d4270061c/-/horizon-files-prod/ed/picture/qkrgm9kw/53a426f18e89ca2871a933f73832fe137985212c.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/8a6aa5123f5c92d4d9f755fef4bd7764/-/horizon-files-prod/ed/picture/qkrgm9kw/4ad80082eb3f9218e1980c5228c5bc6a67e1171e.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/00b65474b426456fdb5bf74750af3ad8/-/horizon-files-prod/ed/picture/qkrgm9kw/9c265e9f85640462e261ca5bfc02fd20fa70cce1.jpg']"
2,Neuf,Autre,Almadies,Dakar,130000 ,Apple TV 128gb 4K (3rd generation) wifi+ethernet,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5ae6a43b9e323b7ece5b4265fbc9b06/-/horizon-files-prod/ed/picture/qwe2wzg4/17060c5906326552c230d72ef0a22a4cbb41e92e.jpg', nan, nan, nan, nan]"
3,Neuf,LG,Guediawaye,Dakar,1400000 ,"Exclusivité: Lg lance son tout nouveau Smart TV modèle 86UR781 LG UHD 86'' soit 217cm doté de technologie AI; intelligence artificielle, écran très large 4k 2023 neuve scellé authentique venant de France normes européennes( différent des contrefaçons made in Egypt ou China).
Des couleurs vives et des détails remarquables grâce à la technologie 4K HDR10 Pro.
Une expérience visuelle plus intelligente avec le processeur α5 Gen6 AI 4K. Fonctionnalités intelligentes, notamment ThinQ AI et WebOS. Streaming intégré avec LG Channels, Netflix, Apple, YouTube, Amazon, Mycanal, Iptv, TV+ et Disney+... Redéfinir l'échelle de 4Kisionnez du contenu non 4K en 4K sur un grand écran UHD pour profiter de la clarté et de la précision à chaque instant, une commodité à un niveau supérieur grâce à la prise en charge d'Amazon Alexa Built-in, d'Apple AirPlay, de Homekit et de Matter. Surveillez facilement les appareils connectés et vérifiez les informations presque instantanément avec votre voix.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/9079e239c8647d1d5b5d77f3d1b68a1b/-/horizon-files-prod/ed/picture/q7854v5x/664d14e26837775fd41056d38f14e4f700b70f55.jpg', nan, nan, nan, nan]"
4,Neuf,Samsung,Plateau,Dakar,900000 ,"SMART TV SAMSUNG 75 POUCES WIFI 4K 189 CM USB HDM UHD ANDROID NETFLIX YOUTUBE GRANDE MARQUE TRÈS BELLE IMAGE ORIGINAL AVEC GARANTIE 12 MOIS SAV
PROMOTIONS STOCK LIMITÉ","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8d599aee6617255d2663fc338b85f25/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/8783109346f08f669a8e5f790962fb6c/-/horizon-files-prod/ed/picture/q8v5n4wp/84bc8af466be0e87e6fb6555cb14934fcbf39f1c.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/8c0a72e15332717cecc8c77135e859c1/-/horizon-files-prod/ed/picture/q8v5n4wp/1ab3f920417eb846063bcf9bcb474706d51ee1dc.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/22710924a3e6e31671b05afd064f9059/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/2e74dec37b44673c5a859cc39169a74f/-/horizon-files-prod/ed/picture/q8v5n4wp/84bc8af466be0e87e6fb6555cb14934fcbf39f1c.jpg']"
5,Neuf,Samsung,Plateau,Dakar,510000 ,SMART TV SAMSUNG 65 POUCES 163 CM WIFI 4K HDM USB UHD NETFLIX YOUTUBE TRÈS BELLE IMAGE ORIGINAL AVEC GARANTIE MOIS SAV PROMOTIONS STOCK LIMITÉ LIVRAISON DANS HEURES INCHA ALLAH À DAKAR NOUS SOMMES DANS LA VOTRE DISPOSITION POUR TOUTE QUESTION CONCERNANT VOTRE DEMANDE DISPONIBLE SAMSUNG 43 POUCES SAMSUNG 55 POUCES SAMSUNG 75 POUCES SAMSUNG 85 POUCES DISPOSITION ASTECH 43 POUCES ASTECH 50 POUCES ASTECH 55 POUCES ASTECH 65 POUCES SMART ASTECH 75 POUCES E LG 43 POUCES HISENSE E ROCH E SOLSTAR E ELACTRON TRÈS BON PRIX PAYEMENT A LA LIVRAISON RAPIDE ET EFFICACE E TRÈS BON PRIX DISPONIBLE ELECTROMENAGER FRIGO SPLIT CLIMATISEUR CONGÉLATEUR CUISINER TOUTE AVEC GARANTIE 12 MOIS SAV,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f51ff9b1986e4a9dff1c0dacab471d2/-/horizon-files-prod/ed/picture/qpd62ewj/09babf5cb1e2a51abb69199dd77558a25b1f6bd4.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/7475ef629dcd6ba432ad4308f06a97ad/-/horizon-files-prod/ed/picture/qpd62ewj/ff37a1399ce2fde0de6b9f5fe836a29f4f739a72.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/a96e60c1b1132f988cff0fc395a6bc91/-/horizon-files-prod/ed/picture/qpd62ewj/ba5102be6376b5f79a0aae0a7efefad2b86d4526.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/ffe219e92084358332b78d2f306f26ab/-/horizon-files-prod/ed/picture/qpd62ewj/09babf5cb1e2a51abb69199dd77558a25b1f6bd4.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/bcfee2ec62731724634459950c2ee900/-/horizon-files-prod/ed/picture/qpd62ewj/ff37a1399ce2fde0de6b9f5fe836a29f4f739a72.jpg']"
6,Neuf,Westpool,Plateau,Dakar,310000 ,"SMART TV ASTECH 55 POUCES WIFI UHD ANDROID BELLE IMAGE AVEC NETFLIX USB HDM
PROMOTIONS STOCK LIMITÉ
GARANTIE 22 MOIS SAV","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/62aeecbcd6b821b2b909a06705c98d4a/-/horizon-files-prod/ed/picture/qqngq9p/85d6a52206f6531563d8d5decd84f8913e841063.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/67ffca1f80e8b41c136539cc96f44505/-/horizon-files-prod/ed/picture/qqngq9p/12b6ca732cffd2e41337bd95352275f30ba36214.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/46d381fd54f3576966164adb5fea71f0/-/horizon-files-prod/ed/picture/qqngq9p/85d6a52206f6531563d8d5decd84f8913e841063.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/53b06c18503dd7b01073ef36a572429b/-/horizon-files-prod/ed/picture/qqngq9p/12b6ca732cffd2e41337bd95352275f30ba36214.jpg', nan]"
7,Neuf,Samsung,Plateau,Dakar,857000 ,SMART TV LED SAMSUNG 75 POUCES BU8000 TRÈS TRÈS BELL IMAGE WIFI 4K 189 CM YOUTUBE NETFLIX USB HDM PROMOTIONS STOCK DE LIMITÉ LIVRAISON DANS HEURES INCHA ALLA A DAKAR NOUS LIVERE DANS TOUTE LES DÉPARTEMENTS DU SÉNÉGAL DISPONIBLE 65 POUCES 75 POUCES 85 POUCES NOUS LIVERE TOUTE LES JOURS INCHA ALLAH À DAKAR,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/95fe668c7154dbe97e09964d730f855f/-/horizon-files-prod/ed/picture/q8qr0v4/739ff9c7f93326e5a7100661d2bb7df259848e00.jpg', nan, nan, nan, nan]"
8,Neuf,Autre,Plateau,Dakar,410000 ,SMART LG 55 POUCES W USB HDM 138 CM 4K ANDROID NETFLIX YOUTUBE UHD BONNE QUALITÉ DE IMAGE GARANTIE MOIS SAV LIVRAISON RAPIDE ET EFFICACE DANS 3 HEURES INCHA ALLAH À DAKAR NOUS SOMMES DANS LA VOTRE DISPONIBLE POUR TOUTE LE QUESTION CONCERNE VOTRE DEMANDE NOUS LIVERE À TOUTE LES DÉPARTEMENTS DU SÉNÉGAL,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/bfc9222f786216842e33c81bebb329c4/-/horizon-files-prod/ed/picture/qkn6n6x/b42c3e0dc8f91ed8cf130e7cb827f754440523a0.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/a8d9c73203d219559580f90e26804bed/-/horizon-files-prod/ed/picture/qkn6n6x/7488b5e85c748b428f9ff3254d3d4b38f0ce36b0.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/a766cae51210265c61f27f4d0e7dc744/-/horizon-files-prod/ed/picture/qkn6n6x/b42c3e0dc8f91ed8cf130e7cb827f754440523a0.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/134bd07637d61710da39b7fd4041ee49/-/horizon-files-prod/ed/picture/qkn6n6x/7488b5e85c748b428f9ff3254d3d4b38f0ce36b0.jpg', nan]"
9,Neuf,Samsung,Plateau,Dakar,570000 ,"SMART SAMSUNG 65 POUCES AU7000S 4K UHD USB HDM 163 CM AUTOMATIQUE TRÈS BELLE IMAGE GARANTIE 12 MOIS SAV
PROMOTIONS STOCK LIMITÉ","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/2332a5bc25452a93a3a3f278600b437f/-/horizon-files-prod/ed/picture/qxjdrj84/68d010b3717d858d7be21550aef92519ff46f7d0.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/c76e749193beece49c32cc89ea278b84/-/horizon-files-prod/ed/picture/qxjdrj84/af324bd8b7dce593b0674579eef80f997de84465.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/0cab123994c2d216df5a46a3fc4d082d/-/horizon-files-prod/ed/picture/qxjdrj84/c2ac17e53682ded66cd739c1c3333de438f1a24a.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/62a54917a3fabdd0ce31b08b8bc3359d/-/horizon-files-prod/ed/picture/qxjdrj84/68d010b3717d858d7be21550aef92519ff46f7d0.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/2578251143a688525d65d51dc8d42372/-/horizon-files-prod/ed/picture/qxjdrj84/af324bd8b7dce593b0674579eef80f997de84465.jpg']"
